handle,contest_count,max_rating,friends_count,problem_count,rating
kenchi2,30,1615,34,330,1556
bruc_wayne,21,1771,14,144,1555
mehtaib,2,1555,8,53,1555
jainayush975,24,1617,26,150,1554
PRT,48,1563,32,389,1552
psaini,21,1654,48,128,1551
pratikej,3,1620,2,11,1550
theboyinatux,18,1702,36,61,1547
Adi,18,1659,10,38,1541
arn_kap,26,1587,50,74,1541
subramanyam,10,1541,6,71,1541
adt7,34,1577,20,281,1540
vaibhavb,79,1633,28,284,1540
primate,44,1724,76,203,1538
rachit_123,43,1692,27,426,1535
Dr.I_m_possible,26,1722,37,139,1528
srirampatil,9,1571,6,40,1526
code_13,13,1599,20,43,1525
jasshangoel,4,1521,12,22,1521
anmolschauhan,9,1578,4,32,1518
sarthak,22,1514,25,54,1514
TD87,5,1509,8,36,1509
ngrj93,2,1509,3,50,1509
ashishk1994,57,1873,37,181,1507
Dr.Hulk,35,1733,76,133,1500
pratikvasa,6,1654,1,29,1498
manishnalla1994,16,1519,8,55,1497
starbhai,40,1557,53,290,1492
ayush_a97,25,1543,19,159,1490
coder_h,33,1678,58,491,1490
satyammittal21,11,1562,8,32,1490
ayk115,23,1583,13,73,1489
adbugger,19,1487,14,111,1487
dosa,58,1744,47,140,1484
ayushi1411,34,1612,36,161,1483
gabbar1947,32,1563,27,321,1482
paraggupta1993,15,1609,53,41,1482
rizwanali,15,1482,29,219,1482
sandilya28,2,1482,6,4,1482
venkat,22,1481,7,50,1481
ancienthunder,17,1582,17,40,1480
rahulnht,12,1482,25,106,1478
Strontium,13,1551,14,175,1477
swap.rp15,5,1565,4,12,1474
ash0904,50,1648,33,286,1473
rounak,33,1663,38,168,1473
Trip3R,54,1515,30,524,1471
abhineet_jain,9,1605,44,94,1470
mehthab,3,1514,6,27,1469
Tutulive,26,1555,18,96,1468
Harsha_b,10,1611,14,34,1466
cs_shadow,19,1565,29,52,1465
chinmay1412,26,1557,20,70,1463
milind11,11,1640,6,28,1463
keysersoze,38,1493,43,464,1458
skbly7,10,1459,22,33,1457
sanidhay_21,35,1581,47,137,1456
imKaushik,25,1628,8,82,1455
psuedonym,43,1658,24,150,1452
-wolfie-,38,1622,13,278,1451
Rits,4,1463,4,9,1450
sambuddhabasu,9,1485,21,46,1449
shell_basher,15,1498,12,181,1449
omkar974,28,1626,49,162,1447
Iamnotacoder,53,1522,26,148,1442
re.Think,23,1662,24,48,1442
Broly_05_06_98,20,1472,18,119,1440
aditya097,1,1439,10,86,1439
beginner95,17,1673,6,220,1439
pratik0509,24,1501,54,150,1438
sidgairo18,23,1473,26,222,1437
abhijat92,7,1617,15,16,1435
srnsh1999,15,1507,15,53,1435
dracarys983,14,1509,12,29,1434
sancheti,1,1433,11,19,1433
jayeshlahori,30,1620,44,141,1432
nash007,17,1525,23,49,1430
sajal_1415,33,1525,40,109,1429
sajcfasati,1,1429,5,17,1429
kishansairam9,1,1428,1,23,1428
evilscientist,11,1441,24,138,1427
jassi9c,61,1649,22,123,1427
sonakshi,11,1490,29,135,1425
vid_adi,4,1546,2,43,1425
sitara_lives,11,1501,2,40,1424
vaidyanakul15,28,1476,35,121,1423
achilles1993,23,1636,16,90,1417
soulbreaker,1,1417,3,15,1417
ishita_3110,28,1479,38,346,1416
hashbash,36,1677,25,237,1415
FBD,9,1499,21,197,1414
freelancer,1,1413,3,11,1413
gun_beginner,5,1501,3,18,1413
prachi7696agrawal,59,1662,46,324,1413
inumella.anupriya,1,1410,4,5,1410
L611,7,1433,3,19,1408
aryamangupta,41,1503,6,112,1407
krsna.nandula,1,1407,3,5,1407
goyalpranav25,1,1404,4,16,1404
Numero_one,13,1561,28,46,1403
gkc2104,9,1408,2,25,1402
sagnihotri,27,1427,7,148,1400
PradeepYarlagadda,12,1447,16,76,1397
rksrinivas033,12,1428,1,25,1397
abstatic,1,1396,0,21,1396
ritesh11,23,1536,18,94,1396
jainsameer20,18,1555,5,277,1393
deepeshjain93,13,1481,12,30,1392
minatoNamikaze,34,1544,32,272,1392
Sachin105,1,1391,0,3,1391
abhishekgarg,10,1563,18,336,1388
drake14,131,1726,15,654,1388
dharmateja,3,1417,7,4,1384
susobhang70,10,1409,2,79,1383
chintu3,4,1525,12,28,1381
ayushmalpani21,6,1437,3,74,1378
Midnight_Coder,8,1410,1,17,1370
jon_sno,3,1416,1,10,1368
rasalghul,18,1501,1,75,1367
gamer101,1,1366,6,5,1366
gokulbnair,3,1411,7,9,1365
MelonLord,2,1455,1,5,1364
thorin22,4,1371,4,66,1361
ram2012k,9,1544,3,12,1360
hjkawadiya,23,1406,6,117,1358
aiswarya339,6,1453,10,307,1357
muditsurana,16,1426,35,143,1357
vepagautam,10,1608,15,366,1356
dancing_cars,56,1649,16,275,1353
samyak.j,16,1395,35,314,1352
ayushdatt,22,1600,19,81,1351
geek_unknown,4,1428,1,52,1350
akanksha_4,10,1507,16,122,1346
elpsymaster,11,1497,11,71,1345
abhinav_2812,47,1526,81,326,1344
cssumit,4,1409,1,7,1344
anirudhalampally,17,1582,13,49,1340
PratikMandlecha,22,1412,33,181,1337
arpan_dasgupta,8,1399,14,68,1336
asrajmane193,16,1554,10,46,1336
chiragsinghal,3,1422,7,13,1333
shreyash127,121,1424,14,323,1332
riddhi.patel,56,1516,21,152,1331
codestrophe,52,1525,16,101,1330
gos,2,1400,3,2,1325
zegatron,21,1383,6,113,1324
iamzazi,10,1375,3,55,1320
novice_4,8,1456,9,246,1320
himangi774,14,1509,26,39,1319
akshat14,6,1459,18,259,1317
srb,24,1583,9,47,1317
jayanth123,2,1404,4,4,1314
yodhacs,25,1549,5,74,1308
Yash_Agarwal,13,1382,18,184,1307
destiny_son,5,1473,29,72,1307
moiz_hussain,11,1379,10,248,1304
adi007,6,1404,9,40,1301
nanda19,5,1402,2,8,1301
pk1210,13,1474,27,62,1299
patniharshit,15,1411,16,95,1298
deadcode1421,4,1439,2,71,1297
savitansh,7,1441,0,39,1296
razor_fox,7,1384,16,31,1293
deepanshu1995,4,1412,0,35,1292
puneeth_m,5,1495,1,9,1291
surendra240700,12,1407,4,87,1286
killerdns,4,1395,3,61,1281
silentcarnage,2,1375,1,4,1280
BadWolfSama,5,1427,11,39,1279
Ak_69,2,1393,18,6,1274
TheCharmingSociopath,9,1414,10,29,1274
racine,13,1414,5,137,1273
account_deleted,7,1434,11,59,1269
trinath,3,1384,4,19,1268
eeshadutta,8,1425,15,33,1263
kushalsingh007,7,1382,9,186,1261
particle.mania,3,1413,31,6,1258
UdyanK,7,1458,12,17,1255
r-neo,16,1414,1,26,1255
stampede1234,6,1410,1,41,1255
rajat3jain,4,1408,1,7,1254
Code_King111,14,1465,12,52,1252
earora97,11,1374,9,58,1251
neel_1998,9,1456,6,19,1249
Agent_J,4,1401,4,14,1248
droftware,12,1420,1,165,1247
jayant27290,3,1419,2,5,1245
minions,22,1427,15,58,1241
deepak_upreti,20,1581,7,103,1238
Pixel01,4,1423,3,14,1235
dub110,4,1408,5,4,1232
shadaabsiddiqie,5,1388,2,12,1229
ayushagrawal,36,1457,19,171,1228
nkjain,5,1413,0,33,1228
ab1nash,14,1384,8,28,1227
mahesh_183,11,1401,2,126,1225
shivtej,21,1483,6,144,1221
Manish1729,7,1413,15,45,1218
yashiiith,4,1418,7,22,1213
deepanshu17,23,1414,11,80,1208
codesourav,11,1402,9,24,1201
mushroomgenie,3,1404,3,52,1199
Smuefire,11,1384,5,27,1197
sinbad_sailer,4,1408,1,3,1192
kitewarrior4,4,1398,6,35,1181
ksingh74,4,1405,10,23,1178
yash199,34,1634,13,70,1169
priyam15,6,1425,1,17,1165
aayushsanghavi,10,1384,13,103,1163
vinayakathavale151996,20,1498,9,53,1160
aayush_saxena,42,1443,14,48,1150
paranoid_coder,6,1454,5,11,1150
prabhakarbikkaneti,7,1398,2,20,1127
rishikasharma,5,1419,0,57,1117
codeBloooded,5,1380,3,53,1098
Joker_mahesh,7,1398,2,25,1068
palash_1511,16,1417,14,129,1061
schowdhury,5,1385,0,9,1061
Aditya0304,7,1403,2,89,1059
persistence,7,1375,2,19,980
